#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	0	0
-0.93700	0	0
-0.93175	4	4
-0.92650	2	6
-0.92125	8	14
-0.91600	18	32
-0.91075	18	50
-0.90550	21	71
-0.90025	33	104
-0.89500	25	129
-0.88975	44	173
-0.88450	48	221
-0.87925	54	275
-0.87400	46	321
-0.86875	73	394
-0.86350	86	480
-0.85825	95	575
-0.85300	92	667
-0.84775	98	765
-0.84250	107	872
-0.83725	119	991
-0.83200	113	1104
-0.82675	121	1225
-0.82150	137	1362
-0.81625	134	1496
-0.81100	171	1667
-0.80575	149	1816
-0.80050	176	1992
-0.79525	207	2199
-0.79000	178	2377
-0.78475	194	2571
-0.77950	187	2758
-0.77425	187	2945
-0.76900	206	3151
-0.76375	220	3371
-0.75850	236	3607
-0.75325	188	3795
-0.74800	220	4015
-0.74275	229	4244
-0.73750	222	4466
-0.73225	264	4730
-0.72700	222	4952
-0.72175	257	5209
-0.71650	241	5450
-0.71125	249	5699
-0.70600	239	5938
-0.70075	314	6252
-0.69550	289	6541
-0.69025	273	6814
-0.68500	271	7085
-0.67975	315	7400
-0.67450	304	7704
-0.66925	283	7987
-0.66400	319	8306
-0.65875	310	8616
-0.65350	281	8897
-0.64825	274	9171
-0.64300	311	9482
-0.63775	340	9822
-0.63250	333	10155
-0.62725	320	10475
-0.62200	302	10777
-0.61675	324	11101
-0.61150	325	11426
-0.60625	330	11756
-0.60100	327	12083
-0.59575	320	12403
-0.59050	351	12754
-0.58525	329	13083
-0.58000	353	13436
-0.57475	367	13803
-0.56950	388	14191
-0.56425	344	14535
-0.55900	368	14903
-0.55375	359	15262
-0.54850	387	15649
-0.54325	381	16030
-0.53800	349	16379
-0.53275	358	16737
-0.52750	335	17072
-0.52225	357	17429
-0.51700	319	17748
-0.51175	405	18153
-0.50650	382	18535
-0.50125	386	18921
-0.49600	390	19311
-0.49075	387	19698
-0.48550	402	20100
-0.48025	343	20443
-0.47500	404	20847
-0.46975	393	21240
-0.46450	378	21618
-0.45925	408	22026
-0.45400	402	22428
-0.44875	399	22827
-0.44350	406	23233
-0.43825	405	23638
-0.43300	419	24057
-0.42775	402	24459
-0.42250	380	24839
-0.41725	358	25197
-0.41200	388	25585
-0.40675	391	25976
-0.40150	423	26399
-0.39625	429	26828
-0.39100	374	27202
-0.38575	426	27628
-0.38050	428	28056
-0.37525	385	28441
-0.37000	451	28892
-0.36475	404	29296
-0.35950	418	29714
-0.35425	421	30135
-0.34900	419	30554
-0.34375	434	30988
-0.33850	411	31399
-0.33325	409	31808
-0.32800	393	32201
-0.32275	415	32616
-0.31750	410	33026
-0.31225	370	33396
-0.30700	418	33814
-0.30175	391	34205
-0.29650	448	34653
-0.29125	401	35054
-0.28600	431	35485
-0.28075	433	35918
-0.27550	445	36363
-0.27025	439	36802
-0.26500	445	37247
-0.25975	445	37692
-0.25450	422	38114
-0.24925	421	38535
-0.24400	446	38981
-0.23875	472	39453
-0.23350	444	39897
-0.22825	461	40358
-0.22300	440	40798
-0.21775	403	41201
-0.21250	410	41611
-0.20725	425	42036
-0.20200	466	42502
-0.19675	445	42947
-0.19150	416	43363
-0.18625	422	43785
-0.18100	434	44219
-0.17575	423	44642
-0.17050	445	45087
-0.16525	455	45542
-0.16000	470	46012
-0.15475	436	46448
-0.14950	440	46888
-0.14425	428	47316
-0.13900	437	47753
-0.13375	427	48180
-0.12850	469	48649
-0.12325	431	49080
-0.11800	511	49591
-0.11275	455	50046
-0.10750	444	50490
-0.10225	495	50985
-0.09700	448	51433
-0.09175	509	51942
-0.08650	459	52401
-0.08125	496	52897
-0.07600	437	53334
-0.07075	469	53803
-0.06550	427	54230
-0.06025	491	54721
-0.05500	422	55143
-0.04975	488	55631
-0.04450	433	56064
-0.03925	480	56544
-0.03400	455	56999
-0.02875	478	57477
-0.02350	485	57962
-0.01825	461	58423
-0.01300	456	58879
-0.00775	474	59353
-0.00250	464	59817
0.00275	473	60290
0.00800	462	60752
0.01325	484	61236
0.01850	486	61722
0.02375	527	62249
0.02900	448	62697
0.03425	462	63159
0.03950	482	63641
0.04475	465	64106
0.05000	496	64602
0.05525	512	65114
0.06050	461	65575
0.06575	475	66050
0.07100	482	66532
0.07625	485	67017
0.08150	463	67480
0.08675	539	68019
0.09200	492	68511
0.09725	502	69013
0.10250	535	69548
0.10775	492	70040
0.11300	476	70516
0.11825	513	71029
0.12350	492	71521
0.12875	478	71999
0.13400	487	72486
0.13925	486	72972
0.14450	539	73511
0.14975	500	74011
0.15500	524	74535
0.16025	498	75033
0.16550	475	75508
0.17075	526	76034
0.17600	531	76565
0.18125	541	77106
0.18650	518	77624
0.19175	517	78141
0.19700	500	78641
0.20225	479	79120
0.20750	529	79649
0.21275	534	80183
0.21800	530	80713
0.22325	550	81263
0.22850	476	81739
0.23375	531	82270
0.23900	551	82821
0.24425	522	83343
0.24950	507	83850
0.25475	526	84376
0.26000	520	84896
0.26525	484	85380
0.27050	513	85893
0.27575	510	86403
0.28100	517	86920
0.28625	530	87450
0.29150	503	87953
0.29675	518	88471
0.30200	518	88989
0.30725	525	89514
0.31250	542	90056
0.31775	533	90589
0.32300	530	91119
0.32825	537	91656
0.33350	495	92151
0.33875	553	92704
0.34400	568	93272
0.34925	558	93830
