#\delta	Number of cells	Cumulative
-0.99475	0	0
-0.98950	0	0
-0.98425	0	0
-0.97900	0	0
-0.97375	0	0
-0.96850	0	0
-0.96325	0	0
-0.95800	0	0
-0.95275	0	0
-0.94750	0	0
-0.94225	1	1
-0.93700	4	5
-0.93175	6	11
-0.92650	8	19
-0.92125	9	28
-0.91600	20	48
-0.91075	33	81
-0.90550	30	111
-0.90025	45	156
-0.89500	55	211
-0.88975	64	275
-0.88450	90	365
-0.87925	107	472
-0.87400	107	579
-0.86875	133	712
-0.86350	138	850
-0.85825	208	1058
-0.85300	189	1247
-0.84775	194	1441
-0.84250	229	1670
-0.83725	261	1931
-0.83200	267	2198
-0.82675	277	2475
-0.82150	311	2786
-0.81625	353	3139
-0.81100	412	3551
-0.80575	392	3943
-0.80050	396	4339
-0.79525	468	4807
-0.79000	456	5263
-0.78475	465	5728
-0.77950	519	6247
-0.77425	499	6746
-0.76900	525	7271
-0.76375	569	7840
-0.75850	603	8443
-0.75325	590	9033
-0.74800	596	9629
-0.74275	688	10317
-0.73750	666	10983
-0.73225	703	11686
-0.72700	745	12431
-0.72175	722	13153
-0.71650	771	13924
-0.71125	767	14691
-0.70600	797	15488
-0.70075	867	16355
-0.69550	878	17233
-0.69025	902	18135
-0.68500	873	19008
-0.67975	894	19902
-0.67450	949	20851
-0.66925	878	21729
-0.66400	909	22638
-0.65875	901	23539
-0.65350	1004	24543
-0.64825	969	25512
-0.64300	985	26497
-0.63775	1024	27521
-0.63250	1089	28610
-0.62725	1029	29639
-0.62200	1035	30674
-0.61675	1090	31764
-0.61150	1112	32876
-0.60625	1127	34003
-0.60100	1137	35140
-0.59575	1136	36276
-0.59050	1122	37398
-0.58525	1171	38569
-0.58000	1194	39763
-0.57475	1199	40962
-0.56950	1255	42217
-0.56425	1228	43445
-0.55900	1283	44728
-0.55375	1207	45935
-0.54850	1341	47276
-0.54325	1306	48582
-0.53800	1312	49894
-0.53275	1293	51187
-0.52750	1301	52488
-0.52225	1270	53758
-0.51700	1251	55009
-0.51175	1337	56346
-0.50650	1348	57694
-0.50125	1344	59038
-0.49600	1436	60474
-0.49075	1415	61889
-0.48550	1397	63286
-0.48025	1374	64660
-0.47500	1421	66081
-0.46975	1394	67475
-0.46450	1447	68922
-0.45925	1353	70275
-0.45400	1429	71704
-0.44875	1436	73140
-0.44350	1390	74530
-0.43825	1423	75953
-0.43300	1442	77395
-0.42775	1462	78857
-0.42250	1430	80287
-0.41725	1396	81683
-0.41200	1458	83141
-0.40675	1371	84512
-0.40150	1475	85987
-0.39625	1497	87484
-0.39100	1430	88914
-0.38575	1437	90351
-0.38050	1524	91875
-0.37525	1539	93414
-0.37000	1516	94930
-0.36475	1516	96446
-0.35950	1438	97884
-0.35425	1415	99299
-0.34900	1467	100766
-0.34375	1486	102252
-0.33850	1431	103683
-0.33325	1423	105106
-0.32800	1483	106589
-0.32275	1516	108105
-0.31750	1464	109569
-0.31225	1429	110998
-0.30700	1537	112535
-0.30175	1498	114033
-0.29650	1432	115465
-0.29125	1498	116963
-0.28600	1518	118481
-0.28075	1497	119978
-0.27550	1510	121488
-0.27025	1506	122994
-0.26500	1555	124549
-0.25975	1496	126045
-0.25450	1470	127515
-0.24925	1550	129065
-0.24400	1494	130559
-0.23875	1475	132034
-0.23350	1507	133541
-0.22825	1569	135110
-0.22300	1515	136625
-0.21775	1519	138144
-0.21250	1515	139659
-0.20725	1556	141215
-0.20200	1534	142749
-0.19675	1490	144239
-0.19150	1483	145722
-0.18625	1467	147189
-0.18100	1476	148665
-0.17575	1436	150101
-0.17050	1504	151605
-0.16525	1564	153169
-0.16000	1564	154733
-0.15475	1503	156236
-0.14950	1504	157740
-0.14425	1463	159203
-0.13900	1527	160730
-0.13375	1476	162206
-0.12850	1473	163679
-0.12325	1467	165146
-0.11800	1577	166723
-0.11275	1503	168226
-0.10750	1537	169763
-0.10225	1485	171248
-0.09700	1523	172771
-0.09175	1508	174279
-0.08650	1469	175748
-0.08125	1472	177220
-0.07600	1428	178648
-0.07075	1445	180093
-0.06550	1467	181560
-0.06025	1516	183076
-0.05500	1456	184532
-0.04975	1470	186002
-0.04450	1481	187483
-0.03925	1483	188966
-0.03400	1486	190452
-0.02875	1392	191844
-0.02350	1495	193339
-0.01825	1456	194795
-0.01300	1461	196256
-0.00775	1441	197697
-0.00250	1485	199182
0.00275	1462	200644
0.00800	1441	202085
0.01325	1425	203510
0.01850	1435	204945
0.02375	1512	206457
0.02900	1443	207900
0.03425	1501	209401
0.03950	1442	210843
0.04475	1444	212287
0.05000	1446	213733
0.05525	1523	215256
0.06050	1457	216713
0.06575	1463	218176
0.07100	1428	219604
0.07625	1461	221065
0.08150	1436	222501
0.08675	1521	224022
0.09200	1374	225396
0.09725	1490	226886
0.10250	1429	228315
0.10775	1429	229744
0.11300	1379	231123
0.11825	1391	232514
0.12350	1434	233948
0.12875	1407	235355
0.13400	1378	236733
0.13925	1360	238093
0.14450	1428	239521
0.14975	1377	240898
0.15500	1438	242336
0.16025	1390	243726
0.16550	1410	245136
0.17075	1382	246518
0.17600	1436	247954
0.18125	1374	249328
0.18650	1401	250729
0.19175	1409	252138
0.19700	1341	253479
0.20225	1321	254800
0.20750	1378	256178
0.21275	1448	257626
0.21800	1438	259064
0.22325	1400	260464
0.22850	1301	261765
0.23375	1393	263158
0.23900	1437	264595
0.24425	1286	265881
0.24950	1285	267166
0.25475	1307	268473
0.26000	1375	269848
