#\delta	Number of cells	Cumulative
-0.98475	0	0
-0.96950	0	0
-0.95425	0	0
-0.93900	0	0
-0.92375	1	1
-0.90850	0	1
-0.89325	2	3
-0.87800	6	9
-0.86275	12	21
-0.84750	12	33
-0.83225	23	56
-0.81700	38	94
-0.80175	27	121
-0.78650	44	165
-0.77125	51	216
-0.75600	52	268
-0.74075	70	338
-0.72550	76	414
-0.71025	81	495
-0.69500	107	602
-0.67975	105	707
-0.66450	111	818
-0.64925	102	920
-0.63400	137	1057
-0.61875	133	1190
-0.60350	145	1335
-0.58825	129	1464
-0.57300	167	1631
-0.55775	163	1794
-0.54250	154	1948
-0.52725	153	2101
-0.51200	142	2243
-0.49675	180	2423
-0.48150	181	2604
-0.46625	183	2787
-0.45100	204	2991
-0.43575	201	3192
-0.42050	218	3410
-0.40525	192	3602
-0.39000	194	3796
-0.37475	214	4010
-0.35950	211	4221
-0.34425	206	4427
-0.32900	202	4629
-0.31375	215	4844
-0.29850	203	5047
-0.28325	217	5264
-0.26800	228	5492
-0.25275	233	5725
-0.23750	253	5978
-0.22225	220	6198
-0.20700	250	6448
-0.19175	221	6669
-0.17650	231	6900
-0.16125	220	7120
-0.14600	235	7355
-0.13075	239	7594
-0.11550	255	7849
-0.10025	236	8085
-0.08500	277	8362
-0.06975	241	8603
-0.05450	252	8855
-0.03925	242	9097
-0.02400	272	9369
-0.00875	252	9621
0.00650	253	9874
0.02175	252	10126
0.03700	251	10377
0.05225	274	10651
0.06750	251	10902
0.08275	261	11163
0.09800	270	11433
0.11325	270	11703
0.12850	283	11986
0.14375	258	12244
0.15900	259	12503
0.17425	260	12763
0.18950	296	13059
0.20475	261	13320
0.22000	253	13573
0.23525	281	13854
0.25050	264	14118
0.26575	285	14403
0.28100	267	14670
0.29625	249	14919
0.31150	277	15196
0.32675	280	15476
0.34200	247	15723
0.35725	259	15982
0.37250	275	16257
0.38775	274	16531
0.40300	281	16812
0.41825	289	17101
0.43350	279	17380
0.44875	276	17656
0.46400	276	17932
0.47925	252	18184
0.49450	276	18460
0.50975	270	18730
0.52500	267	18997
0.54025	297	19294
0.55550	266	19560
0.57075	261	19821
0.58600	270	20091
0.60125	273	20364
0.61650	277	20641
0.63175	277	20918
0.64700	265	21183
0.66225	273	21456
0.67750	250	21706
0.69275	242	21948
0.70800	262	22210
0.72325	277	22487
0.73850	275	22762
0.75375	272	23034
0.76900	241	23275
0.78425	273	23548
0.79950	285	23833
0.81475	235	24068
0.83000	298	24366
0.84525	259	24625
0.86050	268	24893
0.87575	247	25140
0.89100	292	25432
0.90625	259	25691
0.92150	278	25969
0.93675	258	26227
0.95200	270	26497
0.96725	262	26759
0.98250	253	27012
0.99775	246	27258
1.01300	275	27533
1.02825	257	27790
1.04350	264	28054
1.05875	270	28324
1.07400	237	28561
1.08925	239	28800
1.10450	252	29052
1.11975	273	29325
1.13500	238	29563
1.15025	240	29803
1.16550	266	30069
1.18075	263	30332
1.19600	253	30585
1.21125	225	30810
1.22650	271	31081
1.24175	262	31343
1.25700	263	31606
1.27225	229	31835
1.28750	257	32092
1.30275	250	32342
1.31800	268	32610
1.33325	240	32850
1.34850	259	33109
1.36375	262	33371
1.37900	239	33610
1.39425	240	33850
1.40950	240	34090
1.42475	250	34340
1.44000	249	34589
1.45525	225	34814
1.47050	228	35042
1.48575	222	35264
1.50100	258	35522
1.51625	251	35773
1.53150	258	36031
1.54675	215	36246
1.56200	236	36482
1.57725	238	36720
1.59250	250	36970
1.60775	228	37198
1.62300	247	37445
1.63825	272	37717
1.65350	230	37947
1.66875	224	38171
1.68400	206	38377
1.69925	225	38602
1.71450	239	38841
1.72975	247	39088
1.74500	218	39306
1.76025	229	39535
1.77550	240	39775
1.79075	255	40030
1.80600	227	40257
1.82125	207	40464
1.83650	235	40699
1.85175	213	40912
1.86700	232	41144
1.88225	207	41351
1.89750	206	41557
1.91275	225	41782
1.92800	209	41991
1.94325	241	42232
1.95850	195	42427
1.97375	191	42618
1.98900	212	42830
2.00425	222	43052
2.01950	202	43254
2.03475	209	43463
2.05000	201	43664
2.06525	202	43866
2.08050	221	44087
2.09575	241	44328
2.11100	212	44540
2.12625	195	44735
2.14150	212	44947
2.15675	231	45178
2.17200	202	45380
2.18725	186	45566
2.20250	200	45766
2.21775	217	45983
2.23300	192	46175
2.24825	196	46371
2.26350	215	46586
2.27875	197	46783
2.29400	191	46974
2.30925	226	47200
2.32450	194	47394
2.33975	199	47593
2.35500	224	47817
2.37025	207	48024
2.38550	197	48221
2.40075	200	48421
2.41600	187	48608
2.43125	185	48793
2.44650	189	48982
2.46175	192	49174
2.47700	196	49370
2.49225	185	49555
2.50750	189	49744
2.52275	188	49932
2.53800	199	50131
2.55325	203	50334
2.56850	207	50541
2.58375	210	50751
2.59900	197	50948
2.61425	180	51128
2.62950	195	51323
2.64475	193	51516
2.66000	155	51671
2.67525	204	51875
2.69050	194	52069
2.70575	191	52260
2.72100	215	52475
2.73625	170	52645
2.75150	186	52831
2.76675	205	53036
2.78200	175	53211
2.79725	178	53389
2.81250	184	53573
2.82775	185	53758
2.84300	179	53937
2.85825	175	54112
2.87350	163	54275
2.88875	161	54436
2.90400	166	54602
2.91925	170	54772
2.93450	173	54945
2.94975	174	55119
2.96500	155	55274
2.98025	166	55440
2.99550	203	55643
3.01075	189	55832
3.02600	157	55989
3.04125	147	56136
3.05650	179	56315
3.07175	179	56494
3.08700	176	56670
3.10225	186	56856
3.11750	168	57024
3.13275	169	57193
3.14800	160	57353
3.16325	144	57497
3.17850	184	57681
3.19375	174	57855
3.20900	168	58023
3.22425	170	58193
3.23950	172	58365
3.25475	171	58536
3.27000	146	58682
3.28525	155	58837
3.30050	145	58982
3.31575	139	59121
3.33100	161	59282
3.34625	166	59448
3.36150	164	59612
3.37675	169	59781
3.39200	178	59959
3.40725	157	60116
3.42250	137	60253
3.43775	152	60405
3.45300	166	60571
3.46825	136	60707
3.48350	140	60847
3.49875	156	61003
3.51400	159	61162
3.52925	155	61317
