#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	0	0
-0.96200	0	0
-0.96000	0	0
-0.95800	0	0
-0.95600	0	0
-0.95400	6	6
-0.95200	3	9
-0.95000	5	14
-0.94800	4	18
-0.94600	10	28
-0.94400	11	39
-0.94200	8	47
-0.94000	20	67
-0.93800	26	93
-0.93600	33	126
-0.93400	53	179
-0.93200	52	231
-0.93000	50	281
-0.92800	72	353
-0.92600	81	434
-0.92400	86	520
-0.92200	97	617
-0.92000	107	724
-0.91800	141	865
-0.91600	144	1009
-0.91400	157	1166
-0.91200	170	1336
-0.91000	197	1533
-0.90800	241	1774
-0.90600	239	2013
-0.90400	273	2286
-0.90200	263	2549
-0.90000	273	2822
-0.89800	291	3113
-0.89600	317	3430
-0.89400	363	3793
-0.89200	370	4163
-0.89000	356	4519
-0.88800	378	4897
-0.88600	403	5300
-0.88400	436	5736
-0.88200	458	6194
-0.88000	458	6652
-0.87800	494	7146
-0.87600	520	7666
-0.87400	580	8246
-0.87200	574	8820
-0.87000	612	9432
-0.86800	602	10034
-0.86600	639	10673
-0.86400	685	11358
-0.86200	676	12034
-0.86000	690	12724
-0.85800	730	13454
-0.85600	766	14220
-0.85400	742	14962
-0.85200	813	15775
-0.85000	810	16585
-0.84800	889	17474
-0.84600	848	18322
-0.84400	889	19211
-0.84200	940	20151
-0.84000	974	21125
-0.83800	983	22108
-0.83600	981	23089
-0.83400	1043	24132
-0.83200	1062	25194
-0.83000	1033	26227
-0.82800	1166	27393
-0.82600	1118	28511
-0.82400	1150	29661
-0.82200	1188	30849
-0.82000	1222	32071
-0.81800	1237	33308
-0.81600	1210	34518
-0.81400	1349	35867
-0.81200	1334	37201
-0.81000	1299	38500
-0.80800	1371	39871
-0.80600	1307	41178
-0.80400	1356	42534
-0.80200	1370	43904
-0.80000	1438	45342
-0.79800	1491	46833
-0.79600	1489	48322
-0.79400	1489	49811
-0.79200	1559	51370
-0.79000	1579	52949
-0.78800	1592	54541
-0.78600	1596	56137
-0.78400	1595	57732
-0.78200	1626	59358
-0.78000	1737	61095
-0.77800	1662	62757
-0.77600	1741	64498
-0.77400	1748	66246
-0.77200	1659	67905
-0.77000	1808	69713
-0.76800	1749	71462
-0.76600	1874	73336
-0.76400	1867	75203
-0.76200	1829	77032
-0.76000	1873	78905
-0.75800	1836	80741
-0.75600	1872	82613
-0.75400	1954	84567
-0.75200	1995	86562
-0.75000	1983	88545
-0.74800	1936	90481
-0.74600	2059	92540
-0.74400	2037	94577
-0.74200	2062	96639
-0.74000	2065	98704
-0.73800	2160	100864
-0.73600	2193	103057
-0.73400	2176	105233
-0.73200	2112	107345
-0.73000	2204	109549
-0.72800	2268	111817
-0.72600	2278	114095
-0.72400	2270	116365
-0.72200	2284	118649
-0.72000	2252	120901
-0.71800	2324	123225
-0.71600	2351	125576
-0.71400	2421	127997
-0.71200	2383	130380
-0.71000	2397	132777
