#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	0	0
-0.97000	0	0
-0.96800	0	0
-0.96600	0	0
-0.96400	1	1
-0.96200	0	1
-0.96000	0	1
-0.95800	0	1
-0.95600	0	1
-0.95400	10	11
-0.95200	10	21
-0.95000	12	33
-0.94800	13	46
-0.94600	25	71
-0.94400	35	106
-0.94200	37	143
-0.94000	55	198
-0.93800	78	276
-0.93600	79	355
-0.93400	117	472
-0.93200	135	607
-0.93000	131	738
-0.92800	212	950
-0.92600	228	1178
-0.92400	253	1431
-0.92200	326	1757
-0.92000	347	2104
-0.91800	406	2510
-0.91600	467	2977
-0.91400	460	3437
-0.91200	541	3978
-0.91000	654	4632
-0.90800	649	5281
-0.90600	711	5992
-0.90400	799	6791
-0.90200	833	7624
-0.90000	892	8516
-0.89800	988	9504
-0.89600	1050	10554
-0.89400	1214	11768
-0.89200	1207	12975
-0.89000	1303	14278
-0.88800	1318	15596
-0.88600	1421	17017
-0.88400	1454	18471
-0.88200	1629	20100
-0.88000	1671	21771
-0.87800	1708	23479
-0.87600	1865	25344
-0.87400	1983	27327
-0.87200	2075	29402
-0.87000	2183	31585
-0.86800	2230	33815
-0.86600	2408	36223
-0.86400	2426	38649
-0.86200	2489	41138
-0.86000	2537	43675
-0.85800	2706	46381
-0.85600	2690	49071
-0.85400	2918	51989
-0.85200	3122	55111
-0.85000	3124	58235
-0.84800	3182	61417
-0.84600	3300	64717
-0.84400	3283	68000
-0.84200	3513	71513
-0.84000	3627	75140
-0.83800	3677	78817
-0.83600	3753	82570
-0.83400	3904	86474
-0.83200	3978	90452
-0.83000	3999	94451
-0.82800	4227	98678
-0.82600	4272	102950
-0.82400	4295	107245
-0.82200	4355	111600
-0.82000	4550	116150
-0.81800	4497	120647
-0.81600	4584	125231
-0.81400	4823	130054
-0.81200	4749	134803
-0.81000	5007	139810
-0.80800	5015	144825
-0.80600	5051	149876
-0.80400	5029	154905
-0.80200	5099	160004
-0.80000	5326	165330
-0.79800	5442	170772
-0.79600	5527	176299
-0.79400	5488	181787
-0.79200	5756	187543
-0.79000	5754	193297
-0.78800	5744	199041
-0.78600	5922	204963
-0.78400	6037	211000
-0.78200	5948	216948
-0.78000	6171	223119
-0.77800	6103	229222
-0.77600	6291	235513
-0.77400	6436	241949
-0.77200	6309	248258
-0.77000	6373	254631
-0.76800	6598	261229
-0.76600	6546	267775
-0.76400	6729	274504
-0.76200	6689	281193
-0.76000	6699	287892
-0.75800	6643	294535
-0.75600	6738	301273
-0.75400	6895	308168
-0.75200	6980	315148
-0.75000	6959	322107
-0.74800	6970	329077
-0.74600	7076	336153
-0.74400	7033	343186
-0.74200	7222	350408
-0.74000	7134	357542
-0.73800	7208	364750
-0.73600	7303	372053
-0.73400	7380	379433
-0.73200	7466	386899
-0.73000	7386	394285
-0.72800	7487	401772
-0.72600	7556	409328
-0.72400	7507	416835
-0.72200	7599	424434
-0.72000	7654	432088
-0.71800	7594	439682
-0.71600	7777	447459
