#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	9	9
-0.97000	31	40
-0.96800	72	112
-0.96600	146	258
-0.96400	239	497
-0.96200	403	900
-0.96000	605	1505
-0.95800	923	2428
-0.95600	1340	3768
-0.95400	1911	5679
-0.95200	2426	8105
-0.95000	3179	11284
-0.94800	3932	15216
-0.94600	4816	20032
-0.94400	5938	25970
-0.94200	6843	32813
-0.94000	7874	40687
-0.93800	9366	50053
-0.93600	10547	60600
-0.93400	12101	72701
-0.93200	13567	86268
-0.93000	15197	101465
-0.92800	16708	118173
-0.92600	18111	136284
-0.92400	20124	156408
-0.92200	21532	177940
-0.92000	23317	201257
-0.91800	24847	226104
-0.91600	26607	252711
-0.91400	28182	280893
-0.91200	29686	310579
-0.91000	31173	341752
-0.90800	32758	374510
-0.90600	34335	408845
-0.90400	35798	444643
-0.90200	37402	482045
-0.90000	38736	520781
-0.89800	39541	560322
-0.89600	41109	601431
-0.89400	42737	644168
-0.89200	43252	687420
-0.89000	44724	732144
-0.88800	45937	778081
-0.88600	46775	824856
-0.88400	47616	872472
-0.88200	48566	921038
-0.88000	49155	970193
-0.87800	50506	1020699
-0.87600	51147	1071846
-0.87400	51940	1123786
-0.87200	52579	1176365
-0.87000	53193	1229558
-0.86800	53875	1283433
-0.86600	54172	1337605
-0.86400	55092	1392697
-0.86200	55313	1448010
-0.86000	55624	1503634
-0.85800	56191	1559825
-0.85600	56044	1615869
-0.85400	56572	1672441
-0.85200	57128	1729569
-0.85000	57556	1787125
-0.84800	57689	1844814
-0.84600	58113	1902927
-0.84400	58130	1961057
-0.84200	57988	2019045
-0.84000	58394	2077439
-0.83800	58593	2136032
-0.83600	58726	2194758
-0.83400	58904	2253662
-0.83200	58752	2312414
-0.83000	59403	2371817
-0.82800	59051	2430868
-0.82600	59052	2489920
-0.82400	58701	2548621
-0.82200	58896	2607517
-0.82000	59119	2666636
-0.81800	58538	2725174
-0.81600	58465	2783639
-0.81400	58035	2841674
-0.81200	58444	2900118
-0.81000	57761	2957879
-0.80800	57774	3015653
-0.80600	57681	3073334
-0.80400	58018	3131352
-0.80200	57218	3188570
-0.80000	56840	3245410
-0.79800	57139	3302549
-0.79600	56618	3359167
-0.79400	56298	3415465
-0.79200	56025	3471490
-0.79000	56021	3527511
-0.78800	55951	3583462
-0.78600	55767	3639229
-0.78400	55828	3695057
-0.78200	55158	3750215
-0.78000	55009	3805224
-0.77800	54684	3859908
-0.77600	54351	3914259
-0.77400	54346	3968605
-0.77200	53710	4022315
-0.77000	53467	4075782
-0.76800	53333	4129115
-0.76600	52720	4181835
-0.76400	52315	4234150
-0.76200	52156	4286306
-0.76000	51952	4338258
-0.75800	51599	4389857
-0.75600	51326	4441183
-0.75400	50956	4492139
-0.75200	50863	4543002
-0.75000	50321	4593323
-0.74800	50053	4643376
-0.74600	49307	4692683
-0.74400	49220	4741903
-0.74200	49347	4791250
-0.74000	48530	4839780
-0.73800	47926	4887706
-0.73600	47990	4935696
