#\delta	Number of cells	Cumulative
-0.99800	0	0
-0.99600	0	0
-0.99400	0	0
-0.99200	0	0
-0.99000	0	0
-0.98800	0	0
-0.98600	0	0
-0.98400	0	0
-0.98200	0	0
-0.98000	0	0
-0.97800	0	0
-0.97600	0	0
-0.97400	0	0
-0.97200	9	9
-0.97000	31	40
-0.96800	72	112
-0.96600	146	258
-0.96400	239	497
-0.96200	403	900
-0.96000	605	1505
-0.95800	923	2428
-0.95600	1340	3768
-0.95400	1917	5685
-0.95200	2430	8115
-0.95000	3182	11297
-0.94800	3934	15231
-0.94600	4824	20055
-0.94400	5958	26013
-0.94200	6858	32871
-0.94000	7899	40770
-0.93800	9408	50178
-0.93600	10596	60774
-0.93400	12162	72936
-0.93200	13640	86576
-0.93000	15264	101840
-0.92800	16810	118650
-0.92600	18224	136874
-0.92400	20256	157130
-0.92200	21680	178810
-0.92000	23466	202276
-0.91800	25043	227319
-0.91600	26770	254089
-0.91400	28399	282488
-0.91200	29906	312394
-0.91000	31417	343811
-0.90800	33091	376902
-0.90600	34666	411568
-0.90400	36153	447721
-0.90200	37760	485481
-0.90000	39123	524604
-0.89800	39950	564554
-0.89600	41540	606094
-0.89400	43254	649348
-0.89200	43724	693072
-0.89000	45225	738297
-0.88800	46463	784760
-0.88600	47344	832104
-0.88400	48182	880286
-0.88200	49151	929437
-0.88000	49735	979172
-0.87800	51190	1030362
-0.87600	51846	1082208
-0.87400	52668	1134876
-0.87200	53367	1188243
-0.87000	53984	1242227
-0.86800	54655	1296882
-0.86600	55053	1351935
-0.86400	55989	1407924
-0.86200	56233	1464157
-0.86000	56590	1520747
-0.85800	57107	1577854
-0.85600	57044	1634898
-0.85400	57643	1692541
-0.85200	58170	1750711
-0.85000	58651	1809362
-0.84800	58793	1868155
-0.84600	59262	1927417
-0.84400	59328	1986745
-0.84200	59225	2045970
-0.84000	59724	2105694
-0.83800	59870	2165564
-0.83600	60018	2225582
-0.83400	60285	2285867
-0.83200	60121	2345988
-0.83000	60771	2406759
-0.82800	60616	2467375
-0.82600	60518	2527893
-0.82400	60146	2588039
-0.82200	60423	2648462
-0.82000	60736	2709198
-0.81800	60185	2769383
-0.81600	60068	2829451
-0.81400	59757	2889208
-0.81200	60028	2949236
-0.81000	59437	3008673
-0.80800	59546	3068219
-0.80600	59443	3127662
-0.80400	59823	3187485
-0.80200	58974	3246459
-0.80000	58723	3305182
-0.79800	59014	3364196
-0.79600	58544	3422740
-0.79400	58213	3480953
-0.79200	58091	3539044
-0.79000	58066	3597110
-0.78800	57983	3655093
-0.78600	57796	3712889
-0.78400	57860	3770749
-0.78200	57276	3828025
-0.78000	57206	3885231
-0.77800	56803	3942034
-0.77600	56538	3998572
-0.77400	56553	4055125
-0.77200	55966	4111091
-0.77000	55763	4166854
-0.76800	55660	4222514
-0.76600	55184	4277698
-0.76400	54723	4332421
-0.76200	54457	4386878
-0.76000	54400	4441278
-0.75800	54003	4495281
-0.75600	53762	4549043
-0.75400	53425	4602468
-0.75200	53416	4655884
-0.75000	52799	4708683
-0.74800	52614	4761297
-0.74600	51943	4813240
-0.74400	51938	4865178
-0.74200	52004	4917182
-0.74000	51127	4968309
-0.73800	50668	5018977
-0.73600	50720	5069697
